,cntHb,channel,taskLabel
119,-0.00639478531006848,1.0,3.0
120,-0.00628692126605833,1.0,3.0
121,-0.00617877720958032,1.0,3.0
122,-0.00607039955461776,1.0,3.0
123,-0.0059618363994471,1.0,3.0
124,-0.00585313756052919,1.0,3.0
125,-0.00574435458354141,1.0,3.0
126,-0.00563554072777281,1.0,3.0
127,-0.00552675092720646,1.0,3.0
128,-0.00541804173911505,1.0,3.0
129,-0.00530947129194116,1.0,3.0
130,-0.00520109923934288,1.0,3.0
131,-0.00509298672119288,1.0,3.0
132,-0.0049851963262064,1.0,3.0
133,-0.00487779204607533,1.0,3.0
134,-0.00477083921113888,1.0,3.0
135,-0.00466440440185688,1.0,3.0
136,-0.00455855533340842,1.0,3.0
137,-0.00445336071331926,1.0,3.0
138,-0.00434889007892781,1.0,3.0
139,-0.00424521362890656,1.0,3.0
140,-0.00383986821231285,1.0,2.0
141,-0.00374122838049508,1.0,2.0
142,-0.00364380978909987,1.0,2.0
143,-0.0035476834689438,1.0,2.0
144,-0.0034529200956089,1.0,2.0
145,-0.0033595898464893,1.0,2.0
146,-0.00326776223531548,1.0,2.0
147,-0.00317750592982245,1.0,2.0
148,-0.00308888856591732,1.0,2.0
149,-0.00300197657089202,1.0,2.0
150,-0.00291683500167159,1.0,2.0
151,-0.00283352739904294,1.0,2.0
152,-0.00275211565693297,1.0,2.0
153,-0.00267265990389088,1.0,2.0
154,-0.00259521839158729,1.0,2.0
155,-0.00251984738366092,1.0,2.0
156,-0.00244660103704598,1.0,2.0
157,-0.00237553126869017,1.0,2.0
158,-0.00230668760663057,1.0,2.0
159,-0.00224011703305786,1.0,2.0
160,-0.00217586383157886,1.0,2.0
161,-0.00211396944903012,1.0,2.0
162,-0.00205447237641085,1.0,2.0
163,-0.00199740804736896,1.0,2.0
164,-0.00194280874904143,1.0,2.0
165,-0.00189070353945135,1.0,2.0
166,-0.00184111816578833,1.0,2.0
167,-0.00179407497684668,1.0,2.0
168,-0.00170768693762335,1.0,2.0
169,-0.00166836881728901,1.0,2.0
170,-0.00163164610012522,1.0,2.0
171,-0.00159752247519086,1.0,2.0
172,-0.00156599762105071,1.0,2.0
173,-0.00153706717782202,1.0,2.0
174,-0.00151072274832319,1.0,2.0
175,-0.00148695192034474,1.0,2.0
176,-0.00146573829991511,1.0,2.0
177,-0.00144706154676132,1.0,2.0
178,-0.00143089740572341,1.0,2.0
179,-0.00141721772959041,1.0,2.0
180,-0.00140599049290932,1.0,2.0
181,-0.00139717980488572,1.0,2.0
182,-0.00139074593565735,1.0,2.0
183,-0.00138664536749092,1.0,2.0
184,-0.00138483087458565,1.0,2.0
185,-0.00138525162865261,1.0,2.0
186,-0.00138785332369213,1.0,2.0
187,-0.00139257831208709,1.0,2.0
188,-0.00139936574568822,1.0,2.0
189,-0.00140815171772036,1.0,2.0
190,-0.00141886940040132,1.0,2.0
191,-0.00143144917057414,1.0,2.0
192,-0.00144581871759333,1.0,2.0
193,-0.00146190313631877,1.0,2.0
194,-0.00147962501641188,1.0,2.0
195,-0.00149890453994022,1.0,2.0
196,-0.00154180590833478,1.0,3.0
197,-0.00156525719842235,1.0,3.0
198,-0.00158992534138586,1.0,3.0
199,-0.00161572054406043,1.0,3.0
200,-0.0016425515128654,1.0,3.0
201,-0.00167032561182092,1.0,3.0
202,-0.00169894900842001,1.0,3.0
203,-0.00172832681233594,1.0,3.0
204,-0.00175836321446721,1.0,3.0
205,-0.00178896163343156,1.0,3.0
206,-0.00182002487584607,1.0,3.0
207,-0.00185145531499566,1.0,3.0
208,-0.00188315508758624,1.0,3.0
209,-0.00191502630108108,1.0,3.0
210,-0.00194697123930007,1.0,3.0
211,-0.00197889255493597,1.0,3.0
212,-0.00201069344212299,1.0,3.0
213,-0.00204227778506415,1.0,3.0
214,-0.00207355027999378,1.0,3.0
215,-0.00210441653311542,1.0,3.0
216,-0.00213478314648761,1.0,3.0
217,-0.00216455780797022,1.0,3.0
218,-0.00219364939576375,1.0,3.0
219,-0.00222196809837902,1.0,3.0
